S.no,Instagram name,Name,Subscribers,Audience country,Authentic engagement,Engagement average,Category_1,Category_2,Engagement Rate,High Engagement,Primary Category,Subscriber Tier,Subscribers_scaled,Authentic engagement_scaled,Engagement average_scaled
193,kartikaaryan,KARTIK AARYAN,26000000.0,india,580400.0,721800.0,cinema & actors/actresses,unknown,2.2323076923076925,1,cinema & actors/actresses,Mid,0.04424453827795117,0.0457007874015748,0.05428792496328696
194,do0_nct,Doyoung,10500000.0,indonesia,1300000.0,1700000.0,lifestyle,unknown,12.380952380952381,1,lifestyle,Mid,0.015788507435285478,0.10236220472440945,0.13151952502013295
195,twicetagram,TWICE,26600000.0,indonesia,564000.0,684300.0,modeling,unknown,2.1203007518796992,0,modeling,Mid,0.045346062052505964,0.044409448818897634,0.051327196071310144
196,m10_official,Mesut Özil,24200000.0,turkey,539000.0,758100.0,sports with a ball,unknown,2.2272727272727275,1,sports with a ball,Mid,0.04093996695428676,0.042440944881889764,0.057153910530720525
197,aurelie.hermansyah,Aurelie Hermansyah Atta,27100000.0,indonesia,528200.0,666200.0,beauty,unknown,1.9490774907749076,0,beauty,Mid,0.046263998531301635,0.041590551181102366,0.049898150926116
198,enhypen,ENHYPEN,10900000.0,indonesia,1200000.0,1600000.0,lifestyle,unknown,11.009174311926607,1,lifestyle,Mid,0.01652285661832201,0.09448818897637795,0.12362424797486143
199,loganpaul,Logan Paul,23800000.0,united states,548200.0,731000.0,fitness & gym,unknown,2.3033613445378154,1,fitness & gym,Mid,0.04020561777125023,0.043165354330708665,0.05501429045145194
200,momo,모모 (MOMO),8000000.0,turkey,1500000.0,2200000.0,lifestyle,unknown,18.75,1,lifestyle,Micro,0.01119882504130714,0.11811023622047244,0.17099591024649055
201,zachking,Zach King,24500000.0,indonesia,455500.0,701700.0,shows,humor & fun & happiness,1.8591836734693878,0,shows,Mid,0.04149072884156416,0.03586614173228347,0.05270097427718739
202,akshaykumar,Akshay Kumar,63100000.0,india,229800.0,273000.0,cinema & actors/actresses,unknown,0.3641838351822504,0,cinema & actors/actresses,Mega,0.11235542500458968,0.01809448818897638,0.018853921584108386
203,iamhalsey,halsey,30500000.0,united states,422700.0,556300.0,unknown,unknown,1.3859016393442622,0,unknown,Mid,0.05250596658711217,0.033283464566929134,0.041221241453362596
204,serna_amini,Serna Amini,9600000.0,iran,1400000.0,1800000.0,unknown,unknown,14.583333333333334,1,unknown,Micro,0.014136221773453276,0.11023622047244094,0.13941480206540446
205,nct,NCT Official Instagram,14600000.0,indonesia,918300.0,1100000.0,unknown,unknown,6.28972602739726,1,unknown,Mid,0.02331558656140995,0.07230708661417323,0.08414786274850385
206,kajalaggarwalofficial,Kajal A Kitchlu,23500000.0,india,583000.0,704600.0,cinema & actors/actresses,unknown,2.480851063829787,1,cinema & actors/actresses,Mid,0.03965485588397283,0.04590551181102362,0.05292993731150026
207,tatawerneck,Tata Werneck,54100000.0,brazil,197100.0,306000.0,cinema & actors/actresses,family,0.3643253234750462,0,cinema & actors/actresses,Mega,0.09583256838626766,0.015519685039370078,0.021459363009047987
208,angelrai07,Angel Rai :),22500000.0,india,591400.0,712500.0,cinema & actors/actresses,unknown,2.6284444444444444,1,cinema & actors/actresses,Mid,0.03781898292638149,0.046566929133858265,0.05355366419807671
209,brentrivera,Brent Rivera,22300000.0,united states,556000.0,721700.0,cinema & actors/actresses,unknown,2.493273542600897,1,cinema & actors/actresses,Mid,0.03745180833486323,0.04377952755905512,0.05428002968624169
210,taeyeon_ss,TaeYeon,18800000.0,south korea,696600.0,847100.0,unknown,unknown,3.7053191489361703,1,unknown,Mid,0.031026252983293555,0.054850393700787405,0.06418070710101217
211,louist91,Louis Tomlinson,18500000.0,brazil,636600.0,870900.0,unknown,unknown,3.4410810810810806,1,unknown,Mid,0.030475491096016157,0.05012598425196851,0.0660597830377868
212,itzy.all.in.us,ITZY,17900000.0,indonesia,714500.0,873700.0,unknown,unknown,3.991620111731844,1,unknown,Mid,0.029373967321461355,0.05625984251968504,0.0662808507950544
213,haileesteinfeld,hailee steinfeld,19600000.0,united states,626300.0,795200.0,cinema & actors/actresses,unknown,3.1954081632653066,1,cinema & actors/actresses,Mid,0.03249495134936663,0.04931496062992126,0.060083058314516255
214,iamferv,fer,10600000.0,mexico,994000.0,1500000.0,lifestyle,unknown,9.377358490566037,1,lifestyle,Mid,0.015972094731044613,0.07826771653543307,0.11572897092958992
215,brunomars,Bruno Mars,25900000.0,brazil,397000.0,601300.0,unknown,unknown,1.5328185328185329,0,unknown,Mid,0.04406095098219203,0.03125984251968504,0.04477411612373478
216,carlinhosmaiaof,Carlinhos Maia🌻,26100000.0,brazil,326500.0,595300.0,lifestyle,unknown,1.2509578544061304,0,lifestyle,Mid,0.0444281255737103,0.025708661417322833,0.04430039950101849
217,taeoxo_nct,TAEYONG,9600000.0,indonesia,1200000.0,1600000.0,lifestyle,unknown,12.5,1,lifestyle,Micro,0.014136221773453276,0.09448818897637795,0.12362424797486143
218,lilireinhart,Lili Reinhart,28700000.0,brazil,359900.0,532300.0,cinema & actors/actresses,unknown,1.2540069686411148,0,cinema & actors/actresses,Mid,0.04920139526344777,0.028338582677165353,0.03932637496249743
219,colesprouse,Cole Sprouse,35900000.0,united states,324600.0,423800.0,modeling,unknown,0.9041782729805014,0,modeling,Mid,0.06241968055810538,0.025559055118110238,0.030759999368377835
220,jessicah_o,Jessi / 제시,12600000.0,united states,939700.0,1200000.0,unknown,unknown,7.457936507936508,1,unknown,Mid,0.019643840646227283,0.07399212598425196,0.09204313979377536
221,riaricis1795,RICIS,31900000.0,indonesia,386500.0,472900.0,lifestyle,unknown,1.2115987460815048,0,lifestyle,Mid,0.05507618872774004,0.03043307086614173,0.03463658039760615
222,carryminati,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓,16100000.000000002,india,795300.0,935800.0,computers & gadgets,machinery & technologies,4.93975155279503,1,computers & gadgets,Mid,0.026069395997796955,0.0626220472440945,0.07118381784016801
223,nayeonyny,나연 (NAYEON),8300000.000000001,brazil,1600000.0,1800000.0,lifestyle,unknown,19.277108433734938,1,lifestyle,Micro,0.011749586928584544,0.12598425196850394,0.13941480206540446
224,sydney_sweeney,Sydney Sweeney,14200000.0,united states,555400.0,1000000.0,lifestyle,cinema & actors/actresses,3.911267605633803,1,lifestyle,Mid,0.022581237378373416,0.04373228346456693,0.07625258570323233
225,thinkaboutzu,쯔위 (TZUYU),8000000.0,india,1600000.0,1900000.0,unknown,unknown,20.0,1,unknown,Micro,0.01119882504130714,0.12598425196850394,0.147310079110676
226,gatenm123,Gaten Matarazzo,18700000.0,brazil,596800.0,788200.0,cinema & actors/actresses,fashion,3.1914438502673796,1,cinema & actors/actresses,Mid,0.030842665687534424,0.04699212598425197,0.05953038892134725
227,postmalone,postmalone,22800000.0,united states,423200.0,647100.0,unknown,unknown,1.8561403508771932,0,unknown,Mid,0.038369744813658895,0.03332283464566929,0.04839015301046914
228,awez_darbar,Awez Darbar,23100000.0,india,531200.0,636500.0,shows,cinema & actors/actresses,2.2995670995670996,1,shows,Mid,0.038920506700936296,0.04182677165354331,0.04755325364367036
229,m.by__sana,사나 (SANA),7500000.0,yemen,1700000.0,2000000.0,lifestyle,unknown,22.666666666666664,1,lifestyle,Micro,0.010280888562511473,0.13385826771653545,0.15520535615594752
230,skuukzky,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,18000000.0,indonesia,654800.0,807900.0,clothing & outfits,unknown,3.637777777777778,1,clothing & outfits,Mid,0.02955755461722049,0.051559055118110236,0.06108575849926574
