S.no,Instagram name,Name,Subscribers,Audience country,Authentic engagement,Engagement average,Category_1,Category_2
308,asaprocky,GRIM,15000000.0,united states,405600.0,678200.0,unknown,unknown
309,maya_hawke,Maya Hawke,10100000.0,united states,723100.0,1000000.0,cinema & actors/actresses,unknown
310,nusr_et,Nusr_et#Saltbae,47700000.0,turkey,144600.0,212800.0,food & cooking,unknown
311,neslihanatagul,Neslihan Atagül Doğulu,13500000.0,turkey,608900.0,776600.0,cinema & actors/actresses,modeling
312,arigameplays,ARIGAMEPLAYS,11500000.0,mexico,727800.0,873800.0,lifestyle,cinema & actors/actresses
313,hi_sseulgi,슬기 Seulgi,12600000.0,indonesia,634200.0,794900.0,modeling,unknown
314,whinderssonnunes,Whindersson Nunes,58800000.0,brazil,111200.0,171900.0,humor & fun & happiness,unknown
315,bellathorne,BELLA,25400000.0,united states,232300.0,389700.0,unknown,unknown
316,nct_dream,NCT DREAM OFFICIAL,10400000.0,indonesia,845000.0,944000.0,modeling,fashion
317,burakozcivit,Burak Özçivit,22000000.0,turkey,371500.0,451100.0,cinema & actors/actresses,unknown
318,luisasonza,LUÍSA SONZA,30300000.0,brazil,205600.0,325900.0,lifestyle,unknown
319,xeesoxee,한소희,9700000.0,indonesia,784200.0,1000000.0,lifestyle,unknown
320,wwiinn_7,WINWIN,7400000.0,indonesia,1100000.0,1300000.0,unknown,unknown
321,paulolondra,Paulo londra,13700000.0,argentina,451000.0,704900.0,unknown,unknown
322,sofiacarson,Sofia Carson,20300000.0,brazil,350600.0,475300.0,cinema & actors/actresses,unknown
323,michaelbjordan,Michael B. Jordan,18700000.0,united states,310200.0,514500.0,cinema & actors/actresses,unknown
324,hannahstocking,Hannah Stocking,22700000.0,united states,297500.0,422800.0,modeling,unknown
325,sza,SZA,12600000.0,united states,451500.0,763300.0,unknown,unknown
326,anguscloud,Angus Cloud,8000000.0,united states,720100.0,1200000.0,unknown,unknown
327,jy_piece,유정연,5500000.0,brazil,1400000.0,1700000.0,unknown,unknown
328,nba,NBA,70600000.0,united states,81900.0,132600.0,sports with a ball,unknown
329,auba,Pierre-Emerick Aubameyang,13300000.0,united kingdom,445000.0,708600.0,sports with a ball,unknown
330,kevindebruyne,Kevin De Bruyne,18900000.0,united kingdom,320300.0,495700.0,sports with a ball,unknown
331,juanpazurita,Juanpa Zurita,30300000.0,mexico,214900.0,306100.0,cinema & actors/actresses,unknown
332,haechanahceah,HAECHAN,4600000.0,indonesia,1800000.0,2000000.0,unknown,unknown
333,chaeyo.0,채영 (CHAEYOUNG),6900000.0,philippines,1200000.0,1400000.0,lifestyle,unknown
334,aron.piper,ARON🌜🌞,13600000.0,brazil,356400.0,671500.0,lifestyle,unknown
335,hassan_reyvandi,hasan reyvandi حسن ریوندی,19700000.0,iran,337900.0,466900.0,cinema & actors/actresses,humor & fun & happiness
336,aespa_official,aespa 에스파,9500000.0,indonesia,674800.0,970400.0,unknown,unknown
337,rohitsharma45,Rohit Sharma,24900000.0,india,324400.0,366300.0,sports with a ball,lifestyle
338,belindapop,Beli,15600000.0,mexico,405600.0,581100.0,unknown,unknown
339,dahhyunnee,다현 (DAHYUN),6300000.0,brazil,1300000.0,1500000.0,unknown,unknown
340,shaq,DR. SHAQUILLE O'NEAL Ed.D.,26700000.0,united states,258100.00000000003,338500.0,humor & fun & happiness,sports with a ball
341,kimjuncotton,SUHO,10300000.0,indonesia,732400.0,873700.0,lifestyle,unknown
342,thenotoriousmma,Conor McGregor Official,46100000.0,united states,134400.0,194900.0,fitness & gym,unknown
343,bighit_ent,BigHit Music Updates,12900000.0,indonesia,564000.0,694900.0,unknown,unknown
344,rauwalejandro,RAULEETO,15100000.0,spain,411100.0,596200.0,unknown,unknown
345,klrahul,KL Rahul👑,13000000.0,india,538000.0,687100.0,sports with a ball,unknown
346,duki,Ya Supiste,10600000.0,argentina,541700.0,833900.0,unknown,unknown
347,sophiet,S O P H I E T U R N E R,14700000.0,united states,445600.0,599100.0,cinema & actors/actresses,unknown
348,chiaraferragni,Chiara Ferragni ✨,27800000.0,italy,189800.0,315200.0,beauty,unknown
349,toni.kr8s,Toni Kroos,35100000.0,germany,184000.0,249900.0,sports with a ball,unknown
350,sureshraina3,Suresh Raina,21000000.0,india,369300.0,416600.0,modeling,unknown
353,michelleobama,Michelle Obama,50800000.0,united states,156100.0,174600.0,finance & economics,business & careers
357,ratantata,Ratan Tata,6800000.0,india,1100000.0,1300000.0,business & careers,unknown
358,charles_leclerc,Charles Leclerc,8700000.0,italy,763700.0,1000000.0,racing sports,unknown
359,alexandradaddario,alexandra daddario,22500000.0,india,313100.0,382600.0,cinema & actors/actresses,unknown
360,m_kayoung,MUN KA YOUNG,8600000.0,indonesia,765100.0,1000000.0,cinema & actors/actresses,unknown
361,joeyking,Joey King,19100000.0,brazil,313900.0,449300.0,cinema & actors/actresses,modeling
362,stephencurry30,Wardell Curry,45900000.0,united states,140000.0,187300.0,sports with a ball,family
363,houseofhighlights,House of Highlights,36100000.0,united states,130000.0,238100.0,sports with a ball,unknown
364,lizasoberano,Liza Soberano,17500000.0,philippines,410300.0,489400.0,beauty,cinema & actors/actresses
365,jadepicon,JADE 🌪,20900000.0,brazil,187700.0,412900.0,modeling,fashion
366,wow_kimsohyun,김소현,12400000.0,indonesia,592100.0,681200.0,cinema & actors/actresses,modeling
367,todayis_wendy,Wendy,7100000.0,indonesia,992000.0,1200000.0,lifestyle,unknown
368,caradelevingne,Cara Delevingne,42800000.0,united states,137400.0,192700.0,modeling,cinema & actors/actresses
369,c.syresmith,Jaden Smith,19200000.0,united states,275400.0,426200.0,cinema & actors/actresses,lifestyle
370,darshanravaldz,Darshan Raval #BaarishonMein,15300000.0,india,438600.0,529900.0,unknown,unknown
371,eminem,Marshall Mathers,36500000.0,iran,171400.0,221200.0,cinema & actors/actresses,unknown
372,lildurk,DURKIOOO,14200000.0,united states,203200.0,573000.0,unknown,unknown
373,khabib_nurmagomedov,Хабиб Нурмагомедов,33600000.0,russia,168000.0,235800.0,fitness & gym,unknown
374,barackobama,Barack Obama,35400000.0,united states,191200.0,225100.0,finance & economics,business & careers
375,liltjay,TJAYYYY 🖤,7600000.0,united states,575800.0,1100000.0,lifestyle,unknown
376,9gag,9GAG: Go Fun The World,58100000.0,indonesia,105200.0,134600.0,humor & fun & happiness,unknown
377,fabriziorom,Fabrizio Romano,10700000.0,italy,418500.0,724500.0,literature & journalism,shows
378,ksi,KSI,12100000.0,united kingdom,459500.0,645300.0,unknown,unknown
379,nattinatasha,NATTI NATASHA,35900000.0,mexico,179200.0,215000.0,cinema & actors/actresses,unknown
380,andressasuita,Andressa Suita,15800000.0,brazil,296200.0,491300.0,modeling,unknown
381,_mariahwasa,HWASA,8300000.000000001,brazil,725700.0,936400.0,unknown,unknown
382,lestykejora,Lestikejora,25900000.0,indonesia,230300.0,298500.0,unknown,unknown
383,lilyachty,C.V T,10400000.0,united states,363100.0,740100.0,humor & fun & happiness,lifestyle
384,nba_youngboy,PAIN REAL.🩸,10600000.0,united states,387500.0,749800.0,unknown,unknown
385,ssinz7,박신혜/Shin Hye Park,13800000.0,indonesia,449900.0,552800.0,cinema & actors/actresses,unknown
386,dntlrdl,CHOIWOOSHIK,6900000.0,indonesia,850600.0,1100000.0,lifestyle,unknown
387,wizkidayo,BIG WIZ🦅,15200000.0,nigeria,264700.0,513900.0,unknown,unknown
388,alfinetei,Alfinetadas Dos Famosos 📌,21800000.0,brazil,155200.0,348800.0,humor & fun & happiness,unknown
389,gianlucavacchi,Gianluca Vacchi,22500000.0,brazil,216300.0,332700.0,lifestyle,unknown
390,yuu_taa_1026,YUTA 悠太,8500000.0,indonesia,684000.0,895700.0,unknown,unknown
391,kunaguero,Sergio Leonel Agüero,23800000.0,argentina,181600.0,314100.0,sports with a ball,unknown
